date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:14:12	46/46	---MCZ	200	added ('OK')	text/plain	etag:W/%2264cb9626-1a%22	https://demo.bootstrapdash.com/robots.txt		(from )
15:14:12	59487/59487	---M-Z	200	added ('OK')	text/html	etag:%22e85f-5fa25064d0c80-gzip%22	https://demo.bootstrapdash.com/connect-plus/jquery/template/demo_1/	D:/Code/DACN_QLYDETAI/template/light/light/demo.bootstrapdash.com/connect-plus/jquery/template/demo_1/index.html	(from )
15:14:12	163361/163361	---MCZ	200	added ('OK')	text/css	etag:W/%2263cc2a18-27e21%22	https://demo.bootstrapdash.com/connect-plus/jquery/template/assets/vendors/mdi/css/materialdesignicons.min.css	D:/Code/DACN_QLYDETAI/template/light/light/demo.bootstrapdash.com/connect-plus/jquery/template/assets/vendors/mdi/css/materialdesignicons.min.css	(from https://demo.bootstrapdash.com/connect-plus/jquery/template/demo_1/)
15:14:12	33818/33818	---MCZ	200	added ('OK')	text/css	etag:W/%2263cc2a18-841a%22	https://demo.bootstrapdash.com/connect-plus/jquery/template/assets/vendors/flag-icon-css/css/flag-icon.min.css	D:/Code/DACN_QLYDETAI/template/light/light/demo.bootstrapdash.com/connect-plus/jquery/template/assets/vendors/flag-icon-css/css/flag-icon.min.css	(from https://demo.bootstrapdash.com/connect-plus/jquery/template/demo_1/)
15:14:13	2598/2598	---MCZ	200	added ('OK')	text/css	etag:W/%2263cc2a18-a26%22	https://demo.bootstrapdash.com/connect-plus/jquery/template/assets/vendors/css/vendor.bundle.base.css	D:/Code/DACN_QLYDETAI/template/light/light/demo.bootstrapdash.com/connect-plus/jquery/template/assets/vendors/css/vendor.bundle.base.css	(from https://demo.bootstrapdash.com/connect-plus/jquery/template/demo_1/)
15:14:13	31000/31000	---MCZ	200	added ('OK')	text/css	etag:W/%2263cc2a18-7918%22	https://demo.bootstrapdash.com/connect-plus/jquery/template/assets/vendors/font-awesome/css/font-awesome.min.css	D:/Code/DACN_QLYDETAI/template/light/light/demo.bootstrapdash.com/connect-plus/jquery/template/assets/vendors/font-awesome/css/font-awesome.min.css	(from https://demo.bootstrapdash.com/connect-plus/jquery/template/demo_1/)
15:14:13	15731/15731	---MCZ	200	added ('OK')	text/css	etag:W/%2263cc2a18-3d73%22	https://demo.bootstrapdash.com/connect-plus/jquery/template/assets/vendors/bootstrap-datepicker/bootstrap-datepicker.min.css	D:/Code/DACN_QLYDETAI/template/light/light/demo.bootstrapdash.com/connect-plus/jquery/template/assets/vendors/bootstrap-datepicker/bootstrap-datepicker.min.css	(from https://demo.bootstrapdash.com/connect-plus/jquery/template/demo_1/)
15:14:14	2061/2061	---M--	200	added ('OK')	image/png	etag:%2263cc1ac0-80d%22	https://demo.bootstrapdash.com/connect-plus/jquery/template/assets/images/favicon.png	D:/Code/DACN_QLYDETAI/template/light/light/demo.bootstrapdash.com/connect-plus/jquery/template/assets/images/favicon.png	(from https://demo.bootstrapdash.com/connect-plus/jquery/template/demo_1/)
15:14:14	823732/823732	---MCZ	200	added ('OK')	text/css	etag:W/%2263cc2a17-c91b4%22	https://demo.bootstrapdash.com/connect-plus/jquery/template/assets/css/demo_1/style.css	D:/Code/DACN_QLYDETAI/template/light/light/demo.bootstrapdash.com/connect-plus/jquery/template/assets/css/demo_1/style.css	(from https://demo.bootstrapdash.com/connect-plus/jquery/template/demo_1/)
15:14:14	59487/59487	---MCZ	200	added ('OK')	text/html	etag:W/%2264479122-e85f%22	https://demo.bootstrapdash.com/connect-plus/jquery/template/demo_1/index.html	D:/Code/DACN_QLYDETAI/template/light/light/demo.bootstrapdash.com/connect-plus/jquery/template/demo_1/index-2.html	(from https://demo.bootstrapdash.com/connect-plus/jquery/template/demo_1/)
